"record_status","internal_sku","supplier_item_name","tribunal_item_name","tribunal_catalog_item_ids","tribunal_match_status","package_option","package_tags","package_assignment_status","item_type","tracking_method","service_lines","category","brand","manufacturer_model","vendor","vendor_sku","stock_uom","purchase_uom","units_per_purchase","current_unit_cost","source_rows","source_quantity","source_subtotal","quantity_on_hand","default_sell_price","ownership","consumption_behavior","serial_tracking","active","notes"
"VERIFIED","59304101","VO-ZD-1LED-RD-SS ROUND FACE","Silver Wall Light","best-silver-wall-light (planned)","USER_CONFIRMED_MISSING_FROM_TRIBUNAL","Best — The Premier","best","USER_CONFIRMED_NEEDS_TRIBUNAL_SYNC","material","quantity","landscape","fixture","FX Luminaire","VO-ZD-1LED-RD-SS","","59304101","each","each","1","211.43000","1","1","211.43","","","sold_to_customer","consume","no","yes","Tribunal display name confirmed as Silver Wall Light; Premier package; catalog item still needs synchronization"
"VERIFIED","59306832","PO-ZD-1LED-RD-FB Wall Light Black","FX PO ZD Round Core-Drilled Wall Light — Black","59306832","EXACT_CATALOG_AND_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","PO-ZD-1LED-RD-FB","","59306832","each","each","1","166.76000","1","1","166.76","","775.00","sold_to_customer","consume","no","yes","Supplier cost exactly matches Tribunal unit cost; installed selling price remains $775"
"VERIFIED","59308530","ZD MR-16 5-Watt Warm Flood LED Lamp","ZD MR16 5W Lamp","best-zd-up; best-zd-down; best-cora-in-grade","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","lamp_module","FX Luminaire","ZD MR-16 5W WFL","","59308530","each","each","1","56.76000","1","1","56.76","","","sold_to_customer","consume","no","yes","Shared lamp used by three Premier assemblies"
"VERIFIED","59311122","P-ZD-1LED-18RA-FB Path Light 18 in Riser Black","ZD Path Light — 18in riser","best-zd-path","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture_component","FX Luminaire","P-ZD-1LED-18RA-FB","","59311122","each","each","1","148.52000","1","1","148.52","","","sold_to_customer","consume","no","yes","Supplier cost only; Tribunal installed assembly price is $580"
"VERIFIED","59320292","NP-ZD-9LED-LS-FB Up Light Black","ZD Narrow Beam Accent","best-zd-narrow","USER_CONFIRMED_NEAR_MATCH_59320262","Best — The Premier","best","USER_CONFIRMED_NEEDS_TRIBUNAL_SYNC","material","quantity","landscape","fixture","FX Luminaire","NP-ZD-9LED-LS-FB","","59320292","each","each","1","221.79500","1","4","887.18","","","sold_to_customer","consume","no","yes","Tribunal display name and Premier package confirmed; Tribunal currently references SKU 59320262 and needs synchronization; subtotal-derived cost preserves invoice total; current assembly price is $556"
"VERIFIED","59400232","NP-ZDC-FB Up Light Black","ZDC Color Uplight","best-zdc-up","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","NP-ZDC-FB","","59400232","each","each","1","277.58700","1","10","2775.87","","","sold_to_customer","consume","no","yes","Subtotal-derived cost preserves invoice total; Tribunal installed assembly price is $785"
"VERIFIED","59403532","M-PL-ZDC-FB Path Light Black","ZDC Modern Color Path Light","best-zdc-mod-path","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","M-PL-ZDC-FB","","59403532","each","each","1","284.68143","1","7","1992.77","","","sold_to_customer","consume","no","yes","Subtotal-derived cost preserves invoice total; Tribunal installed assembly price is $805"
"VERIFIED","59407330","LL-ZDC-BS UNDERWATER LIGHT","FX LL ZDC Underwater Light — Brass","59407330","EXACT_CATALOG_AND_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","LL-ZDC-BS","","59407330","each","each","1","374.36667","1","3","1123.10","","1295.00","sold_to_customer","consume","no","yes","Subtotal-derived cost preserves invoice total; installed selling price remains $1,295"
"VERIFIED","59409010","WIFI-MOD-2 Luxor Wi-Fi Module","Luxor WiFi Module","best-luxor","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","controller_module","FX Luminaire","WIFI-MOD-2","","59409010","each","each","1","168.45000","1","1","168.45","","","sold_to_customer","consume","yes","yes","Component of Tribunal Luxor Smart 300W Transformer assembly priced at $2,266"
"VERIFIED","59409312","LUX-300-M LUXOR 2.0 300W XFMR","Luxor Smart 300W Transformer","best-luxor","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","transformer","FX Luminaire","LUX-300-M","","59409312","each","each","1","910.56000","1","1","910.56","","","sold_to_customer","consume","yes","yes","Component of Tribunal Luxor Smart 300W Transformer assembly priced at $2,266"
"VERIFIED","59412322","G-ZDC-18RA-FB 18 in Riser Black","ZDC Path Light — 18in riser","best-zdc-path2","EXACT_COMPONENT_NAME_REVIEW","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture_component","FX Luminaire","G-ZDC-18RA-FB","","59412322","each","each","1","297.57000","1","1","297.57","","","sold_to_customer","consume","no","yes","Tribunal component description currently says ZDC Path Light Body Black; supplier identifies an 18in riser; assembly price is $1,001"
"VERIFIED","59413032","XA-70-ZDC-WF-FB ACCENT LIGHT BLACK","ZDC Down Light","best-zdc-down","EXACT_COMPONENT_NAME_REVIEW","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","XA-70-ZDC-WF-FB","","59413032","each","each","1","340.67000","1","1","340.67","","","sold_to_customer","consume","no","yes","Tribunal names the installed orientation Down Light; supplier calls the fixture Accent Light; assembly price is $963"
